               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                 CH4*                   CO                  CH4
                 162               161000         6.6593285972325542E-07         3.0000000000000000E+02        -1.2358999999999661E+01                   7                   39                   -7                  -39
                 163               162000         6.7013364893916105E-07         3.0000000000000000E+02        -8.0379999999996663E+00                   2                   30                   -2                  -30
                 164               163000         6.7416816680303835E-07         3.0000000000000000E+02        -1.0251999999999660E+01                   6                   32                   -6                  -32
                 165               164000         6.7836506783989802E-07         3.0000000000000000E+02        -8.5349999999996573E+00                   7                   23                   -7                  -23
                 166               165000         6.8243751401813926E-07         3.0000000000000000E+02        -9.5789999999996631E+00                   5                   31                   -5                  -31
                 167               166000         6.8637988002192552E-07         3.0000000000000000E+02        -9.6859999999996589E+00                   8                   26                   -8                  -26
                 168               167000         6.9039661316189837E-07         3.0000000000000000E+02        -1.0836999999999653E+01                   9                   29                   -9                  -29
                 169               168000         6.9445777521916344E-07         3.0000000000000000E+02        -1.0553999999999665E+01                  10                   26                  -10                  -26
                 170               169000         6.9843791692520430E-07         3.0000000000000000E+02        -8.9939999999996747E+00                   2                   34                   -2                  -34
                 171               170000         7.0227971375053962E-07         3.0000000000000000E+02        -8.2329999999996719E+00                   3                   29                   -3                  -29
                 172               171000         7.0668571977461514E-07         3.0000000000000000E+02        -8.9939999999996623E+00                   2                   34                   -2                  -34
                 173               172000         7.1094806234525127E-07         3.0000000000000000E+02        -8.0569999999996504E+00                   7                   21                   -7                  -21
                 174               173000         7.1515069366577173E-07         3.0000000000000000E+02        -7.2769999999996573E+00                   3                   25                   -3                  -25
                 175               174000         7.1925728003311409E-07         3.0000000000000000E+02        -1.0056999999999674E+01                   5                   33                   -5                  -33
                 176               175000         7.2352903923019902E-07         3.0000000000000000E+02        -1.0622999999999678E+01                   3                   39                   -3                  -39
                 177               176000         7.2759654163242008E-07         3.0000000000000000E+02        -9.3839999999996699E+00                   4                   32                   -4                  -32
                 178               177000         7.3178066543960998E-07         3.0000000000000000E+02        -8.9059999999996631E+00                   4                   30                   -4                  -30
                 179               178000         7.3612546205406883E-07         3.0000000000000000E+02        -8.1449999999996638E+00                   5                   25                   -5                  -25
                 180               179000         7.4022764823686837E-07         3.0000000000000000E+02        -1.1119999999999649E+01                   8                   32                   -8                  -32
                 181               180000         7.4447174853643098E-07         3.0000000000000000E+02        -8.7109999999996486E+00                   3                   31                   -3                  -31
                 182               181000         7.4838286345024745E-07         3.0000000000000000E+02        -7.7549999999996544E+00                   3                   27                   -3                  -27
                 183               182000         7.5238956874247567E-07         3.0000000000000000E+02        -8.1449999999996354E+00                   5                   25                   -5                  -25
                 184               183000         7.5657760344996503E-07         3.0000000000000000E+02        -1.2075999999999633E+01                   8                   36                   -8                  -36
                 185               184000         7.6069754331672474E-07         3.0000000000000000E+02        -8.4279999999996225E+00                   4                   28                   -4                  -28
                 186               185000         7.6489180358274638E-07         3.0000000000000000E+02        -1.0251999999999621E+01                   6                   32                   -6                  -32
                 187               186000         7.6905347905311255E-07         3.0000000000000000E+02        -8.6229999999996068E+00                   5                   27                   -5                  -27
                 188               187000         7.7326222446624171E-07         3.0000000000000000E+02        -1.1880999999999625E+01                   7                   37                   -7                  -37
                 189               188000         7.7771632527745879E-07         3.0000000000000000E+02        -1.0729999999999629E+01                   6                   34                   -6                  -34
                 190               189000         7.8180972546269534E-07         3.0000000000000000E+02        -9.8809999999996148E+00                   9                   25                   -9                  -25
                 191               190000         7.8620552137201825E-07         3.0000000000000000E+02        -7.8619999999996155E+00                   6                   22                   -6                  -22
                 192               191000         7.9038654428450141E-07         3.0000000000000000E+02        -7.4719999999996176E+00                   4                   24                   -4                  -24
                 193               192000         7.9465782430438721E-07         3.0000000000000000E+02        -1.2358999999999629E+01                   7                   39                   -7                  -39
                 194               193000         7.9857409554160781E-07         3.0000000000000000E+02        -7.6669999999996090E+00                   5                   23                   -5                  -23
                 195               194000         8.0258677759011668E-07         3.0000000000000000E+02        -9.2959999999995944E+00                   6                   28                   -6                  -28
                 196               195000         8.0667055161836777E-07         3.0000000000000000E+02        -1.0446999999999591E+01                   7                   31                   -7                  -31
                 197               196000         8.1061055972294907E-07         3.0000000000000000E+02        -8.4279999999995994E+00                   4                   28                   -4                  -28
                 198               197000         8.1443381340531091E-07         3.0000000000000000E+02        -1.1792999999999598E+01                   9                   33                   -9                  -33
                 199               198000         8.1843612796941994E-07         3.0000000000000000E+02        -9.2079999999995934E+00                   8                   24                   -8                  -24
                 200               199000         8.2251615917405979E-07         3.0000000000000000E+02        -8.9059999999996009E+00                   4                   30                   -4                  -30
                 201               200000         8.2649116269632013E-07         3.0000000000000000E+02        -7.4719999999995981E+00                   4                   24                   -4                  -24
                 202               201000         8.3065703027315524E-07         3.0000000000000000E+02        -1.0163999999999588E+01                   8                   28                   -8                  -28
                 203               202000         8.3478871341453778E-07         3.0000000000000000E+02        -7.2769999999995916E+00                   3                   25                   -3                  -25
                 204               203000         8.3881264718167877E-07         3.0000000000000000E+02        -1.1012999999999606E+01                   5                   37                   -5                  -37
                 205               204000         8.4310905937779677E-07         3.0000000000000000E+02        -7.8619999999995889E+00                   6                   22                   -6                  -22
                 206               205000         8.4725567316074574E-07         3.0000000000000000E+02        -9.1009999999995888E+00                   5                   29                   -5                  -29
                 207               206000         8.5127547408202718E-07         3.0000000000000000E+02        -9.7739999999995995E+00                   6                   30                   -6                  -30
                 208               207000         8.5509446783286497E-07         3.0000000000000000E+02        -9.2959999999995819E+00                   6                   28                   -6                  -28
                 209               208000         8.5900788600418844E-07         3.0000000000000000E+02        -7.7549999999995887E+00                   3                   27                   -3                  -27
                 210               209000         8.6307176167748458E-07         3.0000000000000000E+02        -1.1597999999999578E+01                   8                   34                   -8                  -34
                 211               210000         8.6734396725013336E-07         3.0000000000000000E+02        -8.4279999999995869E+00                   4                   28                   -4                  -28
                 212               211000         8.7141253318820921E-07         3.0000000000000000E+02        -9.8619999999995898E+00                   4                   34                   -4                  -34
                 213               212000         8.7535973798719008E-07         3.0000000000000000E+02        -7.9499999999995774E+00                   4                   26                   -4                  -26
                 214               213000         8.7956375134597847E-07         3.0000000000000000E+02        -1.0251999999999576E+01                   6                   32                   -6                  -32
                 215               214000         8.8342993019697161E-07         3.0000000000000000E+02        -1.1509999999999573E+01                  10                   30                  -10                  -30
                 216               215000         8.8760969992641837E-07         3.0000000000000000E+02        -6.8869999999995795E+00                   1                   27                   -1                  -27
                 217               216000         8.9140855064652314E-07         3.0000000000000000E+02        -1.0251999999999578E+01                   6                   32                   -6                  -32
                 218               217000         8.9587404905655677E-07         3.0000000000000000E+02        -9.5789999999995814E+00                   5                   31                   -5                  -31
                 219               218000         8.9993971224634663E-07         3.0000000000000000E+02        -1.1207999999999592E+01                   6                   36                   -6                  -36
                 220               219000         9.0408552056020276E-07         3.0000000000000000E+02        -8.1449999999995910E+00                   5                   25                   -5                  -25
                 221               220000         9.0797793990961888E-07         3.0000000000000000E+02        -1.1207999999999609E+01                   6                   36                   -6                  -36
                 222               221000         9.1216935728020532E-07         3.0000000000000000E+02        -7.9499999999996183E+00                   4                   26                   -4                  -26
                 223               222000         9.1627738486802902E-07         3.0000000000000000E+02        -9.0129999999996233E+00                   7                   25                   -7                  -25
                 224               223000         9.2031209184445080E-07         3.0000000000000000E+02        -9.4719999999996372E+00                   2                   36                   -2                  -36
                 225               224000         9.2440753481488964E-07         3.0000000000000000E+02        -8.4279999999996171E+00                   4                   28                   -4                  -28
                 226               225000         9.2853520445431077E-07         3.0000000000000000E+02        -8.4279999999996171E+00                   4                   28                   -4                  -28
                 227               226000         9.3281205454659733E-07         3.0000000000000000E+02        -1.0446999999999607E+01                   7                   31                   -7                  -31
                 228               227000         9.3687033504993508E-07         3.0000000000000000E+02        -1.0358999999999599E+01                   9                   27                   -9                  -27
                 229               228000         9.4073600215758878E-07         3.0000000000000000E+02        -9.5789999999996098E+00                   5                   31                   -5                  -31
                 230               229000         9.4476961067732981E-07         3.0000000000000000E+02        -9.9689999999996051E+00                   7                   29                   -7                  -29
                 231               230000         9.4870990503659453E-07         3.0000000000000000E+02        -7.3649999999996085E+00                   1                   29                   -1                  -29
                 232               231000         9.5275301096671427E-07         3.0000000000000000E+02        -9.6859999999995949E+00                   8                   26                   -8                  -26
                 233               232000         9.5685044912670240E-07         3.0000000000000000E+02        -8.4279999999995940E+00                   4                   28                   -4                  -28
                 234               233000         9.6067403947363639E-07         3.0000000000000000E+02        -7.7549999999995949E+00                   3                   27                   -3                  -27
                 235               234000         9.6493775666228111E-07         3.0000000000000000E+02        -1.1119999999999584E+01                   8                   32                   -8                  -32
                 236               235000         9.6889265634736481E-07         3.0000000000000000E+02        -8.9059999999995778E+00                   4                   30                   -4                  -30
                 237               236000         9.7298346369833640E-07         3.0000000000000000E+02        -7.5599999999995866E+00                   2                   28                   -2                  -28
                 238               237000         9.7697269985235855E-07         3.0000000000000000E+02        -1.1031999999999588E+01                  10                   28                  -10                  -28
